COMMUNE,fid,Longitude,Latitude,AIRE_KM2,PC_AGL2010,PLUV_MIN,PLUV_MAX,ALT_MIN,ALT_MAX,POPES2021,Log_Popes2021,DANSI2021,Log_dansi2021,PC_POV,Elvaj_Venal,Log_Elvaj_Venal,Venal_tet,log_Venal_tet,PC_3kmSant,PC_3kmLekol,Log_PC_3kmLekol,Pente_Moy,Lapli_mm,Log_Lapli,LANME,FWONTYE,Risk_Ewo,Dans_wout,log_Dans_wout,km.res$cluster,cluster
Abricots,119.25,-74.311851535,18.61620026,25.696025,30.5,3,4.75,2.5,537.5,7107.5,3.84,274.25,2.4375,64.5,473552.5,5.6175,64.13,1.775,65,0,-1,20.872500000000002,1476.75,3.1670824665,0.75,0,91.25,0.25225,-0.746725,3,3
Acul du Nord,463.5,-72.33384740333334,19.649916846666667,31.259066666666666,42.5,4.166666666666667,4.833333333333333,36.666666666666664,715,9724,3.91,308.3333333333333,2.4366666666666665,63.666666666666664,541698,5.695,64.78666666666666,1.7833333333333332,29.333333333333332,0.3333333333333333,-0.7833333333333333,19.426666666666666,2069.1666666666665,3.3110956173333332,0.3333333333333333,0,65.83333333333333,0.30366666666666664,-1.3811,3.5,3.5
Anse Rouge,332.5,-72.943291045,19.631207355,215.48445,39.5,1,3,0,950,38590,4.565,178.5,2.255,64.5,2084591,6.295,53.135000000000005,1.725,33.5,1.5,-0.26,10.379999999999999,493,2.690948144,1,0,29.5,0.476,-0.323,4,4
Anse à Foleur,62.333333333333336,-72.62297269666666,19.863525903333333,23.444666666666667,37.666666666666664,4.333333333333333,5,26.666666666666668,746.6666666666666,7375,3.8633333333333333,320,2.5,73.66666666666667,218879.66666666666,5.283333333333333,28.990000000000002,1.42,6.333333333333333,1.6666666666666667,-0.07333333333333335,27.286666666666665,2198.3333333333335,3.340311899,0.6666666666666666,0,52,0.32366666666666666,-1.1039666666666665,3,3
Anse-d'Ainault,198.25,-74.4417914175,18.4610658575,25.607174999999998,53.5,3.5,5.25,27.5,557.5,6475.75,3.7675,328,2.3925,60,378090.75,5.54,64.3175,1.7725,11.25,0.5,-0.675,23.525,1916.75,3.26613704375,0.75,0,98,0.40199999999999997,-0.543875,3.25,3.25
Anse-à-Galet,306.6666666666667,-72.92047320166667,18.79373493,62.25705,39.166666666666664,2,3,0,628.3333333333334,18233.166666666668,4.161666666666667,289,2.4299999999999997,65.16666666666667,1425034.3333333333,5.991666666666667,81.26333333333334,1.8266666666666667,50.833333333333336,0.5,-0.6166666666666667,15.9,980.8333333333334,2.990820637166667,1,0,58.5,0.786,-0.17456666666666668,3.6666666666666665,3.6666666666666665
Anse-à-Pitre,410,-71.784561705,18.17946062,90.82849999999999,60,2.5,5,180,1510,11667.5,4.0600000000000005,139.5,2.1399999999999997,68,579835,5.76,53.215,1.705,32.5,0,-1,17.1,1611.5,3.172017236,0.5,1,86.5,0.7324999999999999,-0.14125,1,1
Anse-à-Veau,350.6666666666667,-73.33893546666667,18.46991076666667,35.64413333333333,42.666666666666664,3,3.6666666666666665,0,643.3333333333334,9849.333333333334,3.966666666666667,268.6666666666667,2.42,54.333333333333336,613173.6666666666,5.766666666666667,80.78333333333333,1.8033333333333335,69.66666666666667,0,-1,17.71,1257.3333333333333,3.0986020936666665,1,0,45.666666666666664,0.3923333333333333,-0.44506666666666667,3.6666666666666665,3.6666666666666665
Aquin,452.6,-73.252671018,18.299796605,64.16652,71.4,2.7,3.8,77,627,36583.5,4.537,718.1,2.799,55,381771.3,5.459,10.679,0.918,55.6,12.7,-0.284,17.995,1318.8,3.1121475884,0.4,0,59.9,0.7976,-0.14506,3.8,3.8
Arcahaie,488.6666666666667,-72.52701076333334,18.864026126666666,68.38988333333333,58.166666666666664,2.3333333333333335,3.6666666666666665,35,1023.3333333333334,30899.166666666668,4.404999999999999,699.8333333333334,2.685,50.166666666666664,1532455.5,6.158333333333333,64.62833333333333,1.7516666666666667,40,10.166666666666666,-0.23666666666666666,23.753333333333334,1289.1666666666667,3.1000889291666667,0.6666666666666666,0,62.666666666666664,1.1963333333333332,-0.15938333333333332,3,3
